Carimbo de data/hora,Participant ID,I believe that there could be negative consequences when using the recycling assistant robot.,I believe that the recycling assistant robot will act in my best interest.,I think that the recycling assistant robot is competent and effective in sorting the trash items.,"When sharing something with the recycling assistant robot, I expect to get back a meaningful & knowledgeable response.",The way the robot moved made me uncomfortable.,I felt I could rely on the robot to do what it was supposed to do.,The speed at which the gripper picked up and released the components made me uneasy.,I felt safe interacting with the robot.,I knew the gripper would not drop the components.,The size of the robot did not intimidate me.,The robot gripper did not look reliable.,I was comfortable the robot would not hurt me.,I trusted that the robot was safe to cooperate with.,The gripper seemed like it could be trusted., [Item 1], [Item 2], [Item 3], [Item 4], [Item 5], [Item 6], [Item 7], [Item 8],I believe that there could be negative consequences when using the recycling assistant robot.,I believe that the recycling assistant robot will act in my best interest.,I think that the recycling assistant robot is competent and effective in sorting the trash items.,"When sharing something with the recycling assistant robot, I expect to get back a meaningful & knowledgeable response.",The way the robot moved made me uncomfortable.,I felt I could rely on the robot to do what it was supposed to do.,The speed at which the gripper picked up and released the components made me uneasy.,I felt safe interacting with the robot.,I knew the gripper would not drop the components.,The size of the robot did not intimidate me.,The robot gripper did not look reliable.,I was comfortable the robot would not hurt me.,I trusted that the robot was safe to cooperate with.,The gripper seemed like it could be trusted., [Item 1], [Item 2], [Item 3], [Item 4], [Item 5], [Item 6], [Item 7], [Item 8],Age,First Scenario
24/03/2026 16:55:20,4,4,5,2,5,1,1,5,5,5,5,1,1,5,3,Non-Recyclable,Non-Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,Non-Recyclable,Non-Recyclable,1,5,5,5,1,1,5,5,5,5,5,1,5,5,Recyclable,Non-Recyclable,Non-Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,24,no_justification
24/03/2026 17:15:37,5,1,5,4,5,1,1,5,5,5,5,3,2,4,5,Recyclable,Recyclable,Recyclable,Non-Recyclable,Recyclable,Recyclable,Non-Recyclable,Recyclable,2,5,5,5,1,1,5,5,5,5,3,2,4,5,Recyclable,Non-Recyclable,Non-Recyclable,Non-Recyclable,Recyclable,Recyclable,Recyclable,Non-Recyclable,23,no_justification
25/03/2026 11:45:24,6,2,5,4,5,1,2,1,5,5,5,1,5,5,5,Recyclable,Recyclable,Recyclable,Recyclable,Non-Recyclable,Recyclable,Non-Recyclable,Recyclable,5,2,1,1,1,1,1,5,5,5,1,5,5,5,Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,Non-Recyclable,Recyclable,Recyclable,21,justification
25/03/2026 12:00:11,7,3,4,4,4,1,4,3,2,1,3,4,3,3,3,Non-Recyclable,Recyclable,Non-Recyclable,Recyclable,Non-Recyclable,Recyclable,Recyclable,Non-Recyclable,3,3,2,5,3,1,2,2,1,3,5,1,3,2,Recyclable,Non-Recyclable,Non-Recyclable,Non-Recyclable,Recyclable,Non-Recyclable,Non-Recyclable,Recyclable,27,justification
25/03/2026 12:14:33,8,3,4,3,4,2,4,1,5,3,4,3,4,4,3,Recyclable,Recyclable,Recyclable,Recyclable,Non-Recyclable,Non-Recyclable,Recyclable,Recyclable,2,4,5,5,2,5,3,5,3,4,3,5,4,3,Non-Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,Non-Recyclable,Recyclable,Non-Recyclable,50,no_justification
25/03/2026 12:30:55,9,3,2,2,5,1,2,1,1,5,5,1,5,5,2,Non-Recyclable,Recyclable,Non-Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,Non-Recyclable,4,2,1,5,1,1,1,5,5,5,1,5,5,5,Recyclable,Recyclable,Recyclable,Non-Recyclable,Non-Recyclable,Recyclable,Recyclable,Recyclable,27,justification
25/03/2026 12:44:12,10,3,5,4,5,1,4,1,5,4,5,1,5,5,4,Non-Recyclable,Non-Recyclable,Recyclable,Non-Recyclable,Recyclable,Non-Recyclable,Recyclable,Recyclable,1,5,5,5,1,5,2,5,5,5,1,5,5,5,Non-Recyclable,Recyclable,Non-Recyclable,Non-Recyclable,Recyclable,Recyclable,Recyclable,Non-Recyclable,22,no_justification
25/03/2026 12:58:42,11,2,4,4,5,1,4,1,5,3,5,2,5,5,4,Non-Recyclable,Recyclable,Non-Recyclable,Recyclable,Recyclable,Non-Recyclable,Non-Recyclable,Recyclable,2,4,4,5,1,4,1,5,3,5,2,5,5,4,Non-Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,Non-Recyclable,24,justification
25/03/2026 13:11:35,12,2,4,4,5,1,5,1,5,3,4,4,4,4,2,Recyclable,Recyclable,Recyclable,Recyclable,Non-Recyclable,Non-Recyclable,Non-Recyclable,Recyclable,2,4,3,5,1,3,1,5,3,5,4,5,5,2,Non-Recyclable,Recyclable,Non-Recyclable,Recyclable,Recyclable,Non-Recyclable,Non-Recyclable,Recyclable,23,justification
25/03/2026 13:49:42,13,2,4,4,3,1,3,1,5,3,5,2,5,5,3,Non-Recyclable,Non-Recyclable,Recyclable,Recyclable,Recyclable,Non-Recyclable,Non-Recyclable,Non-Recyclable,2,5,4,5,1,4,3,5,3,5,3,5,4,5,Recyclable,Non-Recyclable,Recyclable,Recyclable,Recyclable,Non-Recyclable,Non-Recyclable,Recyclable,22,no_justification
25/03/2026 14:06:05,14,2,3,4,4,1,4,1,5,4,4,3,4,5,4,Non-Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,Non-Recyclable,Non-Recyclable,2,5,4,5,1,5,2,4,4,4,2,4,5,5,Non-Recyclable,Non-Recyclable,Non-Recyclable,Non-Recyclable,Recyclable,Recyclable,Recyclable,Non-Recyclable,30,no_justification
25/03/2026 14:30:55,15,2,5,3,5,2,2,3,5,3,1,3,2,2,3,Non-Recyclable,Recyclable,Recyclable,Non-Recyclable,Recyclable,Recyclable,Non-Recyclable,Non-Recyclable,4,4,1,5,2,1,3,4,3,1,3,4,3,3,Recyclable,Recyclable,Non-Recyclable,Non-Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,23,justification
25/03/2026 14:54:40,16,2,5,4,5,1,4,2,5,3,5,3,5,5,4,Recyclable,Non-Recyclable,Recyclable,Recyclable,Non-Recyclable,Non-Recyclable,Recyclable,Recyclable,2,5,3,5,1,3,1,1,3,5,3,5,5,3,Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,23,justification
25/03/2026 15:12:28,17,2,5,4,4,5,5,1,5,3,5,3,5,5,3,Recyclable,Non-Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,Non-Recyclable,Non-Recyclable,2,4,3,5,1,2,1,5,3,5,3,5,5,3,Recyclable,Recyclable,Recyclable,Recyclable,Non-Recyclable,Recyclable,Non-Recyclable,Non-Recyclable,22,no_justification
25/03/2026 15:29:54,18,3,4,2,5,1,2,3,5,3,4,2,4,4,4,Recyclable,Recyclable,Recyclable,Non-Recyclable,Recyclable,Non-Recyclable,Non-Recyclable,Non-Recyclable,3,4,2,5,1,2,1,4,3,4,3,4,4,3,Non-Recyclable,Non-Recyclable,Non-Recyclable,Recyclable,Non-Recyclable,Non-Recyclable,Non-Recyclable,Non-Recyclable,23,justification
25/03/2026 15:45:15,19,4,5,3,5,1,3,2,5,3,5,2,5,5,3,Recyclable,Non-Recyclable,Non-Recyclable,Non-Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,3,5,4,5,1,4,1,5,4,5,2,5,5,4,Non-Recyclable,Non-Recyclable,Non-Recyclable,Recyclable,Recyclable,Recyclable,Non-Recyclable,Recyclable,22,no_justification
25/03/2026 16:15:54,20,3,5,4,5,1,3,1,5,3,5,1,5,5,3,Recyclable,Recyclable,Non-Recyclable,Recyclable,Non-Recyclable,Non-Recyclable,Recyclable,Recyclable,3,5,4,5,1,5,3,5,3,5,3,5,5,3,Non-Recyclable,Recyclable,Non-Recyclable,Recyclable,Recyclable,Non-Recyclable,Recyclable,Recyclable,22,justification
25/03/2026 16:28:54,21,2,3,3,2,1,2,1,5,5,5,1,5,5,5,Recyclable,Non-Recyclable,Recyclable,Recyclable,Recyclable,Non-Recyclable,Recyclable,Non-Recyclable,1,5,5,5,1,5,1,5,5,5,1,5,5,5,Non-Recyclable,Non-Recyclable,Non-Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,23,no_justification
25/03/2026 16:55:47,22,3,3,3,4,2,3,3,3,3,4,2,4,4,3,Recyclable,Non-Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,Non-Recyclable,Non-Recyclable,4,3,2,4,3,3,3,4,3,4,3,4,4,3,Recyclable,Recyclable,Non-Recyclable,Non-Recyclable,Recyclable,Recyclable,Non-Recyclable,Recyclable,27,justification
25/03/2026 17:19:32,23,3,4,1,1,1,2,1,4,1,2,3,5,4,3,Recyclable,Non-Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,3,3,3,3,2,3,1,3,1,2,3,1,2,2,Non-Recyclable,Recyclable,Recyclable,Recyclable,Recyclable,Non-Recyclable,Non-Recyclable,Recyclable,20,no_justification
